ime;lokacija;stanje;proizvodjac;model;godiste;kilometraza;vrata;gorivo;kubikaza;kilovata;konjskih_snaga;emisioni_standard;registrovan;udaren;broj_pregleda;datum;datum_objave;radnja;cijena
Volkswagen Golf;Živinice;Korišteno;Volkswagen;Golf;2008;260000;4;Dizel;2.0;103;;Euro 4;1;;421;2022-08-06;2022-03-11;0;10000
BMW X3 2.0 4X4 AUTOMATIK;Srbac;Korišteno;BMW;X3;2012;258000;4;Dizel;2.0;135;185;Euro 5;1;;1282;2022-06-01;2022-03-11;0;32000
GALAXY 2.0 TDCI AUTOMATIC 2013 God.KEYLES GO START;Ljubuški;Korišteno;Ford;Galaxy;2013;298500;4;Dizel;2.0;120;165;Euro 5;1;;2096;2022-07-12;2022-03-11;0;16500
Volvo XC 90;Ilidža;Korišteno;Volvo;XC 90;2006;290000;4;Dizel;2.4;136;182;;1;;1224;2022-05-25;2022-03-11;0;17500
Golf 2 -GTI- Digifant 8v;Velika Kladuša;Korišteno;Volkswagen;Golf;1987;176000;2;Benzin;1.8;79;115;;1;;24578;2022-06-21;2022-03-11;0;20000
Volkswagen Golf 1,6TDI 2012 god.;Doboj;Korišteno;Volkswagen;Golf;2012;245782;4;Dizel;1.6;77;;Euro 5;1;;831;2022-06-07;2022-03-11;0;14500
SKODA FABIA 1.2.TDI 2011,GREENLINE KAO NOVA;Stari Grad;Korišteno;Škoda;Fabia;2011;238686;4;Dizel;1.2;55;;Euro 5;1;;1208;2022-04-18;2022-03-11;;9500
Land Rover Range Rover Sport Facelift 2010g;Banja Luka;Korišteno;Land Rover;Range Rover Sport;2010;229000;4;Dizel;3.0;180;;;1;;1350;2022-04-21;2022-03-11;0;32500
Peugeot 508 2.0 hdi Allure Sport Full 163hp;Sarajevo, Novi Grad;Korišteno;Peugeot;508;2014;175000;4;Dizel;2.0;120;;Euro 4;1;;226;2022-04-16;2022-03-11;0;23500
VOLVO 850 REGISTROVAN PLIN;Gradiška;Korišteno;Volvo;850;1994;425000;4;Plin;2.4;103;130;;1;;1766;2022-06-01;2022-03-11;0;0
Peugeot 5008;Bijeljina;Korišteno;Peugeot;5008;2011;257000;4;Dizel;1.6;82;;;1;;1084;2022-06-27;2022-03-11;0;11700
Passat b8;Orašje;Korišteno;Volkswagen;Passat;2015;210898;4;Dizel;2.0;110;150;;1;;1018;2022-06-09;2022-03-12;0;30499
Seat Leon FR 2.0 TDI Model 2015 LED MATRIX KAO NOV;Kiseljak;Korišteno;Seat;Leon;2014;160000;4;Dizel;2.0;110;150;Euro 5;;;7037;2022-04-30;2022-03-12;0;24500
Fiat Bravo 1.6 Multijet;Trebinje;Korišteno;Fiat;Bravo;2010;206900;4;Dizel;1.6;88;120;Euro 5;1;;1623;2022-05-04;2022-03-12;0;9200
Opel Astra 2012 SPORTS TOUER 1,7 CDTI 81 KW 066 808 966;Doboj;Korišteno;Opel;Astra;2012;190000;4;Dizel;1.7;81;;Euro 5;;;581;2022-04-16;2022-03-12;0;11900
Audi a6;Milići;Korišteno;Audi;A6;2005;360000;4;Dizel;3.0;168;250;;1;;10;2022-06-22;2022-03-12;0;10600
AUDI A3 1.8 BENZIN;Banja Luka;Korišteno;Audi;A3;2008;190000;2;Benzin;1.8;118;;;1;;2489;2022-04-26;2022-03-12;1;9900
Volkswagen Golf mk1 1.6 d;Sarajevo - Centar;Korišteno;Volkswagen;Golf;1982;300000;2;Dizel;1.6;40;;;1;;3402;2022-05-02;2022-03-12;0;3000
OPEL ANTARA 2,2CDTI 4X4;Doboj;Korišteno;Opel;Antara;2013;142000;4;Dizel;2.2;135;183;Euro 5;1;;1213;2022-04-16;2022-03-12;0;16900
Mercedes-Benz E 350 4matic;Pale;Korišteno;Mercedes-Benz;E 350;2015;220000;4;Dizel;3.0;190;255;Euro 6;1;;13918;2022-04-28;2022-03-12;0;39000
CITROEN C4 GRAND PICASSO 1.6 HDI 88 KW 2017;Vitez;Korišteno;Citroen;Grand C4 Picasso;2017;262333;4;Dizel;1.6;88;;Euro 6;;;907;2022-04-19;2022-03-12;1;18950
Volkswagen Passat 2.0 tdi;Doboj;Korišteno;Volkswagen;Passat;2011;216000;4;Dizel;2.0;103;140;Euro 5;1;;558;2022-04-27;2022-03-12;0;15800
Audi A4 B8 2.0 TDI;Banja Luka;Korišteno;Audi;A4;2010;151000;4;Dizel;2.0;110;150;Euro 5;1;;1745;2022-04-23;2022-03-12;0;23200
SKODA OCTAVIA 1,6 TDI,PDC,NAVI,SERVISNA;Prnjavor;Korišteno;Škoda;Octavia;2012;249120;4;Dizel;1.6;77;105;Euro 5;;;2210;2022-04-19;2022-03-12;1;12900
AUDI Q5 2.0 TDI 4x4 ---ilmasalon;Tešanj;Korišteno;Audi;Q5;2011;286339;4;Dizel;2.0;125;;Euro 5;1;;1836;2022-04-19;2022-03-12;1;28900
Audi A6;Modriča;Korišteno;Audi;A6;2010;350000;4;Dizel;2.0;100;;;;;167;2022-07-18;2022-03-12;0;18500
Volkswagen Bora;Zvornik;Korišteno;Volkswagen;Bora;2002;330000;4;Dizel;1.9;96;130;Euro 3;1;;1340;2022-08-02;2022-03-12;0;5000
Ford Mondeo 1.8 TDCI mod 2009;Novi Travnik;Korišteno;Ford;Mondeo;2008;330000;4;Dizel;1.8;92;;Euro 4;1;;11092;2022-04-17;2022-03-12;0;6999
Opel Vivaro Luxuz 2016 16 cdti 145 ks;Brčko;Korišteno;Opel;Vivaro;2016;300000;4;Dizel;1.6;105;145;Euro 6;1;;1921;2022-04-25;2022-03-12;0;25900
Citroen C4 1.6 BlueHDI 2017 LED, Navi;Banja Luka;Korišteno;Citroen;C4;2017;129000;4;Dizel;1.6;88;120;Euro 6;;;1660;2022-04-21;2022-03-12;1;18900
BMW 2011godina FACE LIFT;Banja Luka;Korišteno;BMW;316;2011;235000;4;Dizel;2.0;85;115;Euro 5;;;1290;2022-04-27;2022-03-12;0;12250
ŠKODA ROOMSTER, 26.12.2013 GOD. 1.6, 66 KW, DIZEL;Tuzla;Korišteno;Škoda;Roomster;2013;260000;4;Dizel;1.6;66;;Euro 5;;;831;2022-05-20;2022-03-12;0;12900
BMW 316D,2009,224000 TK.;Ilidža;Korišteno;BMW;316;2009;224000;4;Dizel;2.0;85;115;Euro 5;;;1264;2022-04-26;2022-03-12;1;13900
BMW 525 dizel;Ugljevik;Korišteno;BMW;525;2002;300000;4;Dizel;2.5;120;;;1;;544;2022-04-17;2022-03-12;0;5499
Volkswagen Golf;Brčko;Korišteno;Volkswagen;Golf;1995;250000;4;Benzin;1.4;54;;;;;49;2022-06-13;2022-03-12;0;1500
POLO 1.2 2004 GOD. / EURO 4 / TEK REG.;Sarajevo - Centar;Korišteno;Volkswagen;Polo;2004;110000;4;Benzin;1.2;47;;Euro 4;1;;11;2022-05-03;2022-03-12;0;5900
MINI Cooper One;Tuzla;Korišteno;MINI;ONE;2014;57000;2;Benzin;1.2;55;;;1;;794;2022-05-12;2022-03-12;0;25800
Peugeot 208 1.6Hdi 2016 NAVIGACIJA SENZORI;Banja Luka;Korišteno;Peugeot;208;2016;160;4;Dizel;1.6;55;75;Euro 6;;;804;2022-05-18;2022-03-12;0;13850
Volkswagen Golf 6;Lukavica;Korišteno;Volkswagen;Golf;2010;275000;4;Dizel;1.6;81;;;1;;402;2022-05-11;2022-03-12;0;11500
TOYOTA AURIS 1,4 D4D 66 KW;Brčko;Korišteno;Toyota;Auris;2015;190000;4;Dizel;1.4;66;90;;1;;1375;2022-04-25;2022-03-12;0;17990
Land Rover Range Rover Evoque;Sarajevo, Novi Grad;Korišteno;Land Rover;Range Rover Evoque;2013;128520;4;Dizel;2.2;110;;;1;;1300;2022-04-29;2022-03-12;0;39000
BMW 320;Doboj-Istok;Korišteno;BMW;320;2002;311000;4;Dizel;1.8;85;115;Euro 3;1;;401;2022-08-04;2022-03-12;0;6500
Audi A4 2.0 tdi Automatik led dioda;Brčko;Korišteno;Audi;A4;2008;280000;4;Dizel;2.0;105;;Euro 4;1;;7461;2022-04-26;2022-03-12;0;16500
Fiat bravo 1.6;Žepče;Korišteno;Fiat;Bravo;2008;242000;4;Dizel;1.6;88;;;1;;95;2022-05-30;2022-03-12;0;8008
BMW 118 D (2012.god) Facelift;Tuzla;Korišteno;BMW;118;2012;234050;4;Dizel;2.0;105;143;;1;;1167;2022-04-19;2022-03-12;;16900
Opel Corsa;Zvornik;Korišteno;Opel;Corsa;2005;160000;2;Benzin;1.2;60;;Euro 4;1;;376;2022-08-02;2022-03-12;0;3300
Škoda fabia 1.2 benzin;Laktaši;Korišteno;Škoda;Fabia;2006;228000;4;Benzin;1.2;47;;Euro 4;1;;440;2022-05-13;2022-03-12;0;5000
Chevrolet Spark;Sarajevo, Novi Grad;Korišteno;Chevrolet;Spark;2012;130000;4;Benzin;1.0;55;;;1;;1724;2022-04-27;2022-03-12;0;6400
CITROEN C4 1.6BlueHDI Milenium;Bijeljina;Korišteno;Citroen;C4;2017;163000;4;Dizel;1.6;73;100;Euro 6;;;540;2022-04-26;2022-03-12;1;18500
AUDI TT;Ilidža;Korišteno;Audi;TT;2008;125000;4;Benzin;2.0;147;200;Euro 5;1;;1355;2022-07-14;2022-03-12;0;16500
Volkswagen Passat Passat;Konjic;Korišteno;Volkswagen;Passat;2007;288000;4;Dizel;2.0;103;;Euro 4;1;;2077;2022-04-17;2022-03-12;;9000
Seat Ibiza TDI;Stari Grad;Korišteno;Seat;Ibiza;2011;250000;2;Dizel;1.2;55;75;;1;;1772;2022-05-03;2022-03-12;0;7400
Mercedes-Benz vito Viano trend lynee;Busovača;Korišteno;Mercedes-Benz;Viano;2004;300000;4;Dizel;2.0;80;;Euro 4;1;;1496;2022-04-19;2022-03-12;;12900
Seat Ibiza;Doboj-Jug;Korišteno;Seat;Ibiza;2010;238000;4;Dizel;1.2;55;75;Euro 5;;;134;2022-05-07;2022-03-12;1;8900
Volkswagen Golf;Doboj-Jug;Korišteno;Volkswagen;Golf;2011;215000;4;Dizel;1.6;77;105;;;;538;2022-05-07;2022-03-12;1;13900
Peugeot 206 registrovan godinu dana;Kneževo;Korišteno;Peugeot;206;2002;200000;2;Benzin;1.1;44;;;1;;3051;2022-04-28;2022-03-12;0;2250
Škoda Fabia;Doboj-Jug;Korišteno;Škoda;Fabia;2011;276000;4;Dizel;1.2;55;75;Euro 5;;;284;2022-05-07;2022-03-12;1;9200
VW Polo 1,4 benzin- plin;Prijedor;Korišteno;Volkswagen;Polo;2002;249000;2;Benzin;1.4;55;;;1;;869;2022-05-01;2022-03-12;0;4200
Škoda Octavia 2.0 TDI DSG 140ks 2012god.;Sarajevo, Novi Grad;Korišteno;Škoda;Octavia;2012;280000;4;Dizel;2.0;103;140;Euro 5;1;;721;2022-04-20;2022-03-12;1;15900
Peugeot 107;Ugljevik;Korišteno;Peugeot;107;2011;209000;2;Benzin;1.0;50;;Euro 4;1;;535;2022-07-15;2022-03-12;0;6750
Volkswagen Golf;Doboj-Jug;Korišteno;Volkswagen;Golf;2009;201000;4;Dizel;2.0;103;140;Euro 5;;;1792;2022-05-07;2022-03-12;1;13500
Audi A4 2.0 TDI *Top*Servisna*Original km*;Stari Grad;Korišteno;Audi;A4;2013;183834;4;Dizel;2.0;100;180;;1;;1892;2022-05-04;2022-03-12;0;24950
Volkswagen Touran;Novi Travnik;Korišteno;Volkswagen;Touran;2008;301000;4;Dizel;1.9;77;;;1;;320;2022-05-27;2022-03-12;0;10600
BMW 318;Gradačac;Korišteno;BMW;318;2006;280000;4;Dizel;2.0;90;;Euro 4;1;;4;2022-06-04;2022-03-12;0;11000
Fiat Bravo;Konjic;Korišteno;Fiat;Bravo;2000;15000;2;Benzin;1.2;59;;;;;8;2022-06-08;2022-03-12;0;2000
BMW 530 Dizel 2004g ŠALTAČ Tek Registrovan;Tuzla;Korišteno;BMW;530;2004;340000;4;Dizel;3.0;160;;;1;;818;2022-05-05;2022-03-12;0;10900
Mercedes-Benz C 220;Bužim;Korišteno;Mercedes-Benz;C 220;2005;277500;4;Dizel;2.2;110;;Euro 5;1;;566;2022-05-03;2022-03-12;0;10550
Volkswagen Golf;Trebinje;Korišteno;Volkswagen;Golf;2009;315000;4;Dizel;2.0;81;;Euro 3;1;;788;2022-05-04;2022-03-12;0;13000
Volkswagen Passat B8 2.0 TDI DSG R-Line 4Motion 200ks;Lukavica;Novo;Volkswagen;Passat;2021;1000;4;Dizel;2.0;147;200;Euro 6;1;;19553;2022-07-17;2022-03-12;0;95980
BMW 530d, registrovan, odlicno stanje;Banja Luka;Korišteno;BMW;530;2004;339000;4;Dizel;3.0;155;;;1;;2157;2022-04-20;2022-03-12;1;9900
Audi A4 2.0 105 kw Xenon Led;Visoko;Korišteno;Audi;A4;2008;321000;4;Dizel;2.0;105;;Euro 4;1;;348;2022-08-07;2022-03-12;0;17300
Volkswagen Passat;Foča;Korišteno;Volkswagen;Passat;2006;280000;4;Dizel;2.0;103;;Euro 4;1;;1166;2022-04-26;2022-03-12;0;10700
Škoda Octavia;Sarajevo, Novi Grad;Korišteno;Škoda;Octavia;2012;280000;4;Dizel;2.0;103;140;Euro 5;1;;302;2022-04-17;2022-03-12;0;16400
FIAT 500 1.4 BENZIN 2007 G. -FULL OPREMA-;Banja Luka;Korišteno;Fiat;500;2007;151000;2;Benzin;1.4;73;100;Euro 4;1;;2045;2022-04-20;2022-03-12;1;8950
AUDI A3 2.0 TDI 103KW 2004 GOD REG 10/2022.;Teslić;Korišteno;Audi;A3;2004;300000;2;Dizel;2.0;103;140;Euro 4;1;;3993;2022-05-24;2022-03-12;0;6850
Audi A6 50 TDI S-line Black Edition;Ugljevik;Korišteno;Audi;A6;2019;55000;4;Dizel;3.0;210;286;;;;2746;2022-04-16;2022-03-12;0;115000
Mercedes-Benz A 170;Zenica;Korišteno;Mercedes-Benz;A 170;2004;250000;4;Dizel;1.7;70;;Euro 3;1;;149;2022-06-03;2022-03-12;0;4200
BMW E34 525 24v;Sarajevo, Novi Grad;Korišteno;BMW;525;1993;400000;4;Benzin;2.5;141;;Euro 1;;;4872;2022-04-16;2022-03-12;0;6000
Audi a4 dizel 2.0 tdi facelift / led;Gradačac;Korišteno;Audi;A4;2012;288000;4;Dizel;2.2;88;120;Euro 5;;;3064;2022-05-04;2022-03-12;1;23900
VW PASSAT 1.9 TDI 77KW 2006 GOD REG 08/2021.;Teslić;Korišteno;Volkswagen;Passat;2006;372000;4;Dizel;1.9;77;105;Euro 4;1;;2130;2022-05-13;2022-03-12;0;7950
BMW 318 E90 facelift;Doboj-Istok;Korišteno;BMW;318;2008;232890;4;Dizel;2.0;105;150;Euro 5;1;;894;2022-04-26;2022-03-12;0;12700
BMW 320;;Korišteno;BMW;320;2001;330000;4;Dizel;2.0;100;;;1;;911;2022-05-24;2022-03-12;0;3500
Audi A4 2.0 TDI;Tešanj;Korišteno;Audi;A4;2016;260000;4;Dizel;2.0;110;150;Euro 6;1;;1511;2022-05-15;2022-03-12;0;28900
Audi a4;Žepče;Korišteno;Audi;A4;2005;262827;4;Dizel;2.0;103;140;;1;;330;2022-04-18;2022-03-12;0;10800
Bmw x5;Prijedor;Korišteno;BMW;X5;2011;214000;4;Dizel;3.0;180;245;;1;;6287;2022-05-20;2022-03-12;0;37900
Peugeot 207;Ilidža;Korišteno;Peugeot;207;2006;227000;4;Dizel;1.6;80;;Euro 4;1;;14;2022-05-08;2022-03-12;0;6300
Mercedes-Benz C 220;Ilidža;Korišteno;Mercedes-Benz;C 220;2002;320000;4;Dizel;2.2;105;;;1;;681;2022-05-04;2022-03-12;1;5600
KIA SPORTAGE 11/2015 - 1.7 CDRi KAO NOVO;Sarajevo, Novi Grad;Korišteno;Kia;Sportage;2015;168000;4;Dizel;1.7;85;;Euro 5;1;;1414;2022-04-26;2022-03-12;0;26900
FORD KUGA 2.0 TDCi 4X4;Bileća;Korišteno;Ford;Kuga;2011;161805;4;Dizel;2.0;103;140;Euro 5;;;2391;2022-04-28;2022-03-12;1;19200
Škoda Yeti 1.6TDI 77KW, 2013G;Doboj;Korišteno;Škoda;Yeti;2013;244000;4;Dizel;1.6;77;;Euro 5;;;2246;2022-04-20;2022-03-12;1;13800
Peugeot 207 1.4/50kw HDI 2010god;Banja Luka;Korišteno;Peugeot;207;2010;168000;4;Dizel;1.4;50;68;Euro 5;;;1250;2022-04-15;2022-03-12;1;8999
Volkswagen Passat 7 B7 LED+ XENON 2.0 103 KW 2011 god;Tuzla;Korišteno;Volkswagen;Passat;2009;282000;4;Dizel;2.0;103;105;Euro 5;1;;2502;2022-04-15;2022-03-12;1;19499
Peugeot 308 1.4 plin 70 kw 2008 god klima;Gradiška;Korišteno;Peugeot;308;2008;164000;4;Plin;1.4;70;;;;;5;2022-05-07;2022-03-12;0;7300
Golf 6 plus 1.6tdi 77kw 2010g;Srebrenica;Korišteno;Volkswagen;Golf Plus;2010;223000;4;Dizel;1.6;77;;;;;1242;2022-05-15;2022-03-12;0;11250
Pegueot 307 2.0 HDI 100kw;Živinice;Korišteno;Peugeot;307;2004;260000;4;Dizel;2.0;100;136;Euro 4;1;;6;2022-07-12;2022-03-12;0;4000
Golf 6 1.6 TDI;Tešanj;Korišteno;Volkswagen;Golf;2010;226000;2;Dizel;1.6;77;;Euro 5;1;;616;2022-08-27;2022-03-12;0;11000
Opel Insignia, kao nova, ful oprema, sve osim kože;Ugljevik;Korišteno;Opel;Insignia;2011;197560;4;Dizel;2.0;96;;Euro 5;1;;507;2022-05-03;2022-03-12;0;14950
Passat b6;Grad Mostar;Korišteno;Volkswagen;Passat;2006;300000;4;Dizel;2.0;103;;;;;3716;2022-05-02;2022-03-12;0;6900
Mercedes e 220cdi;Busovača;Korišteno;Mercedes-Benz;E 220;2002;360000;4;Dizel;2.2;105;;;;;59;2022-06-21;2022-03-12;0;7300
Škoda Octavia 2007god 1.9 77KW Registrovan 9/22;Kiseljak;Korišteno;Škoda;Octavia;2007;295000;4;Dizel;1.9;77;;;1;;4968;2022-05-01;2022-03-12;0;6400
Fiat Punto 1.2;Brčko;Korišteno;Fiat;Punto;1997;180000;4;Benzin;1.2;40;;;1;;1663;2022-04-22;2022-03-12;0;1150
Passat 5+ 1.9 74 kw 2003 God Ekstra stanje kao nov;Nevesinje;Korišteno;Volkswagen;Passat;2003;256000;4;Dizel;1.9;74;;;1;;1278;2022-08-08;2022-03-12;0;6350
Audi A6 2.7 TDI Facelift 2010;Brčko;Korišteno;Audi;A6;2010;298679;4;Dizel;2.7;140;190;Euro 5;1;;961;2022-04-21;2022-03-12;0;22700
Citroen C1 MOD 2020 UVOZ NOVO 10000KM ORGINAL;Srbac;Korišteno;Citroen;C1;2020;10000;2;Benzin;1.0;53;74;Euro 6;;;1609;2022-05-03;2022-03-12;0;15999
Alfa Romeo Giulietta JTD UVOZ TOP TOP LED G 2012;Srbac;Korišteno;Alfa Romeo;Giulietta;2012;174000;4;Dizel;2.0;103;140;Euro 5;;;2188;2022-05-03;2022-03-12;0;13350
Passat 6 2.0 TDi 100 KW 2006 godina;Gradiška;Korišteno;Volkswagen;Passat;2006;306136;4;Dizel;2.0;100;136;Euro 4;1;;1342;2022-04-26;2022-03-12;0;9200
Fiat Punto Evo 1.3mjTd 62kw mod2012;Čelić;Korišteno;Fiat;Punto Evo;2011;180600;4;Dizel;1.3;62;85;Euro 5;;;2642;2022-04-18;2022-03-12;1;7650
Renault Megane;Živinice;Korišteno;Renault;Megane;2004;250000;4;Dizel;1.9;88;;;1;;1365;2022-05-26;2022-03-12;0;2600
BMW X3 2.0D facelift 4x4 odgovara zamjena;Ilidža;Korišteno;BMW;X3;2007;295000;4;Dizel;2.0;110;;;1;;1665;2022-04-27;2022-03-12;0;14500
Renault Laguna II 2004g 1.9dCi 74kw 5MT;Banja Luka;Korišteno;Renault;Laguna;2004;195000;4;Dizel;1.9;74;101;Euro 3;1;;484;2022-04-19;2022-03-12;0;3200
Audi Q7;Bijeljina;Korišteno;Audi;Q7;2006;270000;4;Dizel;3.0;171;230;Euro 5;1;;1337;2022-04-23;2022-03-12;0;19550
BMW X1;Sarajevo, Novi Grad;Korišteno;BMW;X1;2012;192000;4;Dizel;2.0;105;;;1;;1360;2022-04-18;2022-03-12;1;19900
Škoda Octavia 1 6 TDI 2016 GOD;Bijeljina;Korišteno;Škoda;Octavia;2016;203000;4;Dizel;1.6;66;90;Euro 5;1;;3996;2022-04-19;2022-03-12;1;19200
Hyundai Santa Fe 4x4 Full Oprema;Zenica;Korišteno;Hyundai;Santa Fe;2007;198000;4;Dizel;2.2;114;;Euro 4;1;;511;2022-09-22;2022-03-12;0;17500
Fiat Panda 1,3 4x4 2011 god;Vitez;Korišteno;Fiat;Panda;2011;197836;4;Benzin;1.3;51;;Euro 5;1;;2801;2022-05-10;2022-03-12;1;9250
Škoda Yeti 2.0 TDI 4x4 2015g.Facelift;Bijeljina;Korišteno;Škoda;Yeti;2015;230000;4;Dizel;2.0;81;110;Euro 5;;;3129;2022-04-25;2022-03-12;0;20900
Ford mondeo 2.0 tdci 84 kw;Vitez;Korišteno;Ford;Mondeo;2007;290000;4;Dizel;2.0;84;115;Euro 4;1;;886;2022-04-29;2022-03-12;0;5300
Audi A3 2.0 TDI automatik;Konjic;Korišteno;Audi;A3;2003;288888;4;Dizel;2.0;103;140;Euro 3;1;;7851;2022-04-21;2022-03-12;0;6000
BMW 320 F30 2012GOD TEK UVEZEN-REGISTRIRAN 04-2023;Žepče;Korišteno;BMW;320;2012;223600;4;Dizel;2.0;135;;Euro 5;;;3906;2022-05-11;2022-03-12;0;24490
Nissan Navara NP300 Tekna 2.3 LIMITED EDITION;Stari Grad;Korišteno;Nissan;Navara;2016;16000;4;Dizel;2.3;139;190;Euro 6;1;;3561;2022-08-02;2022-03-12;0;51000
AUDI A4 B7 1.9 DIZEL 2005 GOD. ODLICNO STANJE;Prijedor;Korišteno;Audi;A4;2005;300000;4;Dizel;1.9;85;130;;1;;2873;2022-04-18;2022-03-12;1;11500
Peugeot 407;Laktaši;Korišteno;Peugeot;407;2005;290000;4;Dizel;1.6;80;;;1;;18;2022-05-23;2022-03-12;0;4500
Aveo 2009. god ,plin atest 2025;Bijeljina;Korišteno;Chevrolet;Aveo;2009;315290;4;Plin;1.4;74;100;;1;;856;2022-06-10;2022-03-12;0;4900
Mazda 2;Ilidža;Korišteno;Mazda;2;2005;145000;4;Benzin;1.2;55;;;1;;1137;2022-04-20;2022-03-12;0;3500
BMW 530d automatik limuzina;Konjic;Korišteno;BMW;530;2000;333333;4;Dizel;3.0;135;;Euro 3;1;;1842;2022-08-30;2022-03-12;0;6950
Audi A6 2018god 2.0 tdi 1 vlasnik 75 predjenih;Živinice;Korišteno;Audi;A6;2018;75;4;Dizel;2.0;139;;Euro 6;1;;611;2022-05-22;2022-03-12;0;75000
Golf 5 TEK REGISTROVAN;Zenica;Korišteno;Volkswagen;Golf;2003;260000;4;Benzin;1.4;51;;;1;;645;2022-04-17;2022-03-12;0;6700
Prodajem Seat Leon;Sarajevo, Novi Grad;Korišteno;Seat;Leon;2004;250000;4;Dizel;1.9;81;;;;;1764;2022-04-18;2022-03-12;0;4900
***AUDI A4 2.0 TDI LED XENON MODEL 2011***;Tuzla;Korišteno;Audi;A4;2010;231400;4;Dizel;2.0;88;120;Euro 5;;;2014;2022-04-24;2022-03-12;0;16950
Audi A3 Sportback 1.6 TDi 77 Kw 2010 BiXenon LED Park;Kiseljak;Korišteno;Audi;A3;2010;239000;4;Dizel;1.6;77;;Euro 5;;;1509;2022-05-03;2022-03-12;0;14399
Seat Alhambra 2.0 125kw DSG;Tešanj;Korišteno;Seat;Alhambra;2010;340000;4;Dizel;2.0;125;167;Euro 5;1;;229;2022-04-23;2022-03-12;1;21500
Lada Niva 1.7 i;Foča;Korišteno;Lada;Niva;2006;104000;4;Benzin;1.7;59;;Euro 3;1;;1996;2022-07-10;2022-03-12;0;6000
VW TIGUAN 2.0 TDI R-LINE 4MOTION 4X4 170ps KOZA NAVI;Lukavica;Korišteno;Volkswagen;Tiguan;2010;219000;4;Dizel;2.0;128;170;;;;7625;2022-04-25;2022-03-12;1;22900
Audi A4 2.0 TDI Facelift;Velika Kladuša;Korišteno;Audi;A4;2012;220000;4;Dizel;2.0;105;143;Euro 5;1;;1415;2022-04-25;2022-03-12;0;23900
Volkswagen Touran 1.6 TDI DSG 7 SICEVA;Velika Kladuša;Korišteno;Volkswagen;Touran;2017;195000;4;Dizel;1.6;85;116;Euro 6;1;;1702;2022-05-06;2022-03-12;0;27900
Golf 6 1.6 77kw;Trebinje;Korišteno;Volkswagen;Golf;2011;216000;4;Dizel;1.6;77;;Euro 5;1;;976;2022-04-21;2022-03-12;0;14400
BMW 320 E92 COUPE MOZE ZAMJENA;Bihać;Korišteno;BMW;320;2009;231000;2;Dizel;2.0;130;;Euro 5;1;;2178;2022-04-21;2022-03-13;0;17500
Opel Zafira Zafira Tourer;Prijedor;Korišteno;Opel;Zafira Tourer;2013;240000;4;Dizel;2.0;121;;;1;;211;2022-04-17;2022-03-13;0;16999
Bmw GT 320d xDrive uvoz švicarska;Grad Mostar;Korišteno;BMW;320;2015;223558;4;Dizel;2.0;140;190;Euro 6;;;2461;2022-04-27;2022-03-13;1;36000
Pasat 6 4x4;Bosanska Krupa;Korišteno;Volkswagen;Passat;2006;255000;4;Dizel;2.0;103;;;1;;1139;2022-04-29;2022-03-13;0;9000
BMW E90 LCI M Optik;Visoko;Korišteno;BMW;318;2011;176500;4;Dizel;2.0;105;143;Euro 5;1;;1867;2022-04-20;2022-03-13;0;17000
Hyundai Tucson;Ilijaš;Korišteno;Hyundai;Tucson;2019;76000;4;Dizel;1.6;85;;Euro 6;1;;1486;2022-07-07;2022-03-13;0;44500
Land Rover Discovery 5+2 sjedista 062 464 804;Doboj-Jug;Korišteno;Land Rover;Discovery;2006;145000;4;Benzin;4.4;220;;Euro 4;1;;3751;2022-08-25;2022-03-13;0;22500
Fiat Punto 1.3 JTD MULTIJET dizel 2004 REGISTROVAN;Sarajevo, Novi Grad;Korišteno;Fiat;Punto;2004;200000;2;Dizel;1.3;51;69;;1;;2139;2022-05-10;2022-03-13;0;3300
Renault Laguna;Ljubuški;Korišteno;Renault;Laguna;2003;213324;4;Dizel;1.9;88;;;1;;19;2022-04-27;2022-03-13;0;2650
Opel Insignia;Sarajevo - Centar;Korišteno;Opel;Insignia;2011;109590;4;Dizel;2.0;118;160;Euro 5;1;;525;2022-05-25;2022-03-13;0;15500
Jeep Grand Cherokee 4,7 plin;Srbac;Korišteno;Jeep;Grand Cherokee;2000;185000;4;Plin;4.7;164;;;1;;1563;2022-05-04;2022-03-13;0;11500
Golf 6 1.6 dizel 2011 godina uvoz;Bijeljina;Korišteno;Volkswagen;Golf;2011;229951;4;Dizel;1.6;77;;Euro 5;1;;1279;2022-04-18;2022-03-13;0;12800
Fiat Punto Evo;Derventa;Korišteno;Fiat;Punto Evo;2011;195000;4;Dizel;1.3;62;;Euro 5;1;;1735;2022-04-19;2022-03-13;0;8500
Volkswagen Golf 4 1.9 TDI;Laktaši;Korišteno;Volkswagen;Golf;2000;310000;2;Dizel;1.9;85;;Euro 4;1;;413;2022-04-28;2022-03-13;0;5500
Ford Focus 1.6 dizel 80kw.2006 god;Prijedor;Korišteno;Ford;Focus;2006;235652;2;Dizel;1.6;80;;;1;;2122;2022-04-20;2022-03-13;0;5350
Mercedes Benz C200 FACELIFT FULL;Ilidža;Korišteno;Mercedes-Benz;C 200;2006;265000;4;Dizel;2.2;90;122;Euro 4;1;;1442;2022-06-07;2022-03-13;0;9000
Citroen C5 exluziv;Banja Luka;Korišteno;Citroen;C5;2009;157000;4;Dizel;2.0;103;;Euro 5;1;;195;2022-04-26;2022-03-13;0;11500
