ime;lokacija;stanje;proizvodjac;model;godiste;kilometraza;vrata;gorivo;kubikaza;kilovata;konjskih_snaga;emisioni_standard;registrovan;udaren;broj_pregleda;datum;datum_objave;radnja;cijena
Passat 5 plus 2.0 4motion/4x4/plin;Banjalučka, Novi Grad;Korišteno;Volkswagen;Passat;2002;269000;4;Plin;2.0;85;115;Euro 4;1;;18243;2022-04-20;2022-04-20;0;6000
Seat Leon 1.6 TDI Reference;Grad Mostar;Korišteno;Seat;Leon;2010;184000;4;Dizel;1.6;77;105;Euro 5;;;7042;2022-04-20;2020-10-30;1;12300
Mercedes-Benz ML 350;Sokolac;Korišteno;Mercedes-Benz;ML 350;2012;170000;4;Dizel;3.0;186;;;1;;6892;2022-05-02;2020-10-30;1;50000
Volkswagen Golf;Zenica;Korišteno;Volkswagen;Golf;2011;228000;4;Dizel;1.6;77;;;1;;1222;2022-06-02;2020-10-30;0;13500
Mercedes-Benz GL 350 AMG;Sokolac;Korišteno;Mercedes-Benz;GL 350;2012;160000;4;Dizel;3.0;186;;Euro 5;;;7714;2022-05-02;2020-10-30;1;49000
Nissan X-Trail 1.6 dci Tekna;Sarajevo, Novi Grad;Korišteno;Nissan;X-Trail;2014;160000;4;Dizel;1.6;96;;Euro 5;1;;13471;2022-04-18;2020-10-31;0;28950
Citroen C5;Sarajevo, Novi Grad;Korišteno;Citroen;C5;2001;300000;4;Dizel;2.0;80;;Euro 4;;;3495;2022-04-25;2020-10-31;0;3600
BMW X5 3,5 Xdrive;Doboj;Korišteno;BMW;X5;2009;213000;4;Dizel;3.5;210;290;Euro 5;1;;6840;2022-07-07;2020-10-31;0;28400
Škoda Fabia;Vitez;Korišteno;Škoda;Fabia;2011;185000;4;Dizel;1.6;77;;;1;;1831;2022-05-14;2020-10-31;0;9300
FIAT 500 1.2i;Bileća;Korišteno;Fiat;500;2009;110253;2;Benzin;1.2;51;69;Euro 5;;;8671;2022-04-20;2020-10-31;1;9500
Toyota Land Cruiser 2018 god prvi vlasnik automatik;Živinice;Korišteno;Toyota;Land Cruiser;2018;170000;4;Dizel;2.8;130;;Euro 6;1;;13984;2022-04-17;2020-10-31;0;73500
Peugeot 3008 Premium 1.6HDI ** PANORAMA** EXTRA OCUVAN*;Čapljina;Korišteno;Peugeot;3008;2010;204545;4;Dizel;1.6;1;;Euro 5;1;;11639;2022-07-17;2020-10-31;0;14900
Seat Ibiza;Banja Luka;Korišteno;Seat;Ibiza;2008;250000;4;Dizel;1.4;59;;;1;;4436;2022-05-11;2020-11-01;0;6200
Opel zafira;Lukavac;Korišteno;Opel;Zafira;1999;251000;4;Plin;1.8;85;;Euro 2;1;;3257;2022-04-21;2020-11-01;0;3600
VW Golf 6,VI;Zenica;Korišteno;Volkswagen;Golf;2010;160000;4;Benzin;1.2;77;;;1;;6336;2022-05-10;2020-11-01;0;10000
Mercedes GLK 220 CDI 4 MATIC 7G TRONIC FACELIFT 2015;Busovača;Korišteno;Mercedes-Benz;GLK 220;2015;170000;4;Dizel;2.2;125;170;Euro 5;1;;11772;2022-07-08;2020-11-01;0;48000
Audi a6 2.0 avant;Gradiška;Korišteno;Audi;A6;2006;250000;4;Dizel;2.0;103;;Euro 4;;;9161;2022-04-18;2020-11-02;0;10000
JAGUAR XE S 2018 Full Novo Novo;Ilidža;Korišteno;Jaguar;XE;2018;26000;4;Benzin;3.0;250;34060;Euro 6;1;;15680;2022-05-05;2020-11-02;0;69900
Opel Zafira;Cazin;Korišteno;Opel;Zafira;2006;246000;4;Dizel;1.9;88;;Euro 4;1;;1410;2022-05-02;2020-11-02;0;6600
Škoda Octavia;Grad Mostar;Korišteno;Škoda;Octavia;2012;170;4;Dizel;1.9;100;;;1;;7355;2022-06-08;2020-11-03;0;13500
Audi a6;Tešanj;Korišteno;Audi;A6;2005;280000;4;Dizel;2.7;132;220;Euro 4;1;;2592;2022-05-09;2020-11-03;0;12500
PEUGEOT 205 FOREVER;Bijeljina;Korišteno;Peugeot;205;1995;92000;2;Benzin;1.1;44;60;Euro 1;1;;13913;2022-04-20;2020-11-03;0;4999
MERCEDES - BENZ B 180 CDI 2005 Elegance;Sarajevo - Centar;Korišteno;Mercedes-Benz;B 180;2005;299000;4;Dizel;2.0;80;;Euro 4;;;35063;2022-04-27;2022-04-27;1;8700
Mercedes-Benz E 220 w210;Brčko;Korišteno;Mercedes-Benz;E 220;1999;477000;4;Dizel;2.2;70;95;;1;;5917;2022-05-11;2020-11-03;0;3800
Mercedes-Benz GL 350;Vlasenica;Korišteno;Mercedes-Benz;GL 350;2011;185000;4;Dizel;3.0;165;225;Euro 5;1;;6600;2022-05-07;2020-11-03;0;45000
Mercedes CLS 350 Benzin Plin TOP STANJE;Laktaši;Korišteno;Mercedes-Benz;CLS 350;2007;240000;4;Plin;3.5;200;272;Euro 4;;;3348;2022-04-27;2020-11-03;0;19999
Volvo S40 2.0d;Lukavica;Korišteno;Volvo;S40;2004;259000;4;Dizel;2.0;100;136;Euro 4;1;;5744;2022-04-16;2022-04-16;0;7900
